kepid,kepoi_name,koi_disposition,tce_plnt_num,pca
11446443,K00001.01,CONFIRMED,1,8149225689.734194
10666592,K00002.01,CONFIRMED,1,8149225689.931922
10748390,K00003.01,CONFIRMED,1,8149225689.905063
3861595,K00004.01,CONFIRMED,1,8149225689.594843
8554498,K00005.01,FALSE POSITIVE,1,8149225672.364008
3248033,K00006.01,FALSE POSITIVE,1,-584360428.7744557
11853905,K00007.01,CONFIRMED,1,8149225467.179658
5903312,K00008.01,FALSE POSITIVE,1,2627046872.467717
11553706,K00009.01,FALSE POSITIVE,1,8149225689.856285
6922244,K00010.01,CONFIRMED,1,8149225689.73778
11913073,K00011.01,FALSE POSITIVE,1,-143651335.82444486
5812701,K00012.01,CONFIRMED,1,8149225689.845755
9941662,K00013.01,CONFIRMED,1,8149225689.935227
7684873,K00014.01,FALSE POSITIVE,1,8149225141.043504
3964562,K00015.01,FALSE POSITIVE,1,8149225306.6761
9110357,K00016.01,FALSE POSITIVE,1,1982644235.897865
10874614,K00017.01,CONFIRMED,1,8149225689.868339
8191672,K00018.01,CONFIRMED,1,8149225689.892043
7255336,K00019.01,FALSE POSITIVE,1,8149225689.774311
11804465,K00020.01,CONFIRMED,1,8149225689.812214
10125352,K00021.01,FALSE POSITIVE,1,8149225689.659272
9631995,K00022.01,CONFIRMED,1,8149225689.785783
9071386,K00023.01,FALSE POSITIVE,1,8149225689.918629
4743513,K00024.01,FALSE POSITIVE,1,8149225689.946392
10593759,K00025.01,FALSE POSITIVE,1,8149225689.893108
5021737,K00026.01,FALSE POSITIVE,1,5533039590.114382
3832716,K00027.01,FALSE POSITIVE,1,-2767557093.7114244
4247791,K00028.01,FALSE POSITIVE,1,8149225689.958005
6956014,K00031.01,FALSE POSITIVE,1,8149225311.280124
5725087,K00033.01,FALSE POSITIVE,1,-35379234.761701524
6521045,K00041.01,CONFIRMED,1,-611373869.6296306
6521045,K00041.02,CONFIRMED,2,-1565577970.2016468
6521045,K00041.03,CONFIRMED,3,-2274618098.2868285
8866102,K00042.01,CONFIRMED,1,2404202068.6777096
9025922,K00043.01,FALSE POSITIVE,1,-827531108.6476412
8845026,K00044.01,FALSE POSITIVE,1,3755959161.978676
3742855,K00045.01,FALSE POSITIVE,1,7024938863.104212
10905239,K00046.01,CONFIRMED,1,8149225498.778334
10905239,K00046.02,CONFIRMED,2,-2460262994.0832653
7837302,K00048.01,FALSE POSITIVE,1,8149225689.905182
9527334,K00049.01,CONFIRMED,1,2275179882.7661357
6056992,K00051.01,FALSE POSITIVE,1,8149225689.642282
3558981,K00052.01,FALSE POSITIVE,1,8149225689.915933
2445975,K00053.01,FALSE POSITIVE,1,8149225689.728818
8248939,K00061.01,FALSE POSITIVE,1,4724677642.414558
11554435,K00063.01,CONFIRMED,1,8149225689.780494
7051180,K00064.01,FALSE POSITIVE,1,8149225689.655044
10620329,K00066.01,FALSE POSITIVE,1,8149224764.570391
8669092,K00068.01,FALSE POSITIVE,1,-2767556702.6554093
3544595,K00069.01,CONFIRMED,1,8149224491.382951
6850504,K00070.01,CONFIRMED,1,4726575404.626755
6850504,K00070.02,CONFIRMED,2,5100946134.011453
6850504,K00070.03,CONFIRMED,3,-1090351216.954883
6850504,K00070.04,CONFIRMED,4,-1780005115.4260876
6850504,K00070.05,CONFIRMED,5,-2271098609.0643997
11904151,K00072.01,CONFIRMED,1,-191326322.46268305
11904151,K00072.02,CONFIRMED,2,1388237176.8058224
6889235,K00074.01,FALSE POSITIVE,1,8149225689.8805065
7199397,K00075.01,FALSE POSITIVE,1,-231069548.45663002
9955262,K00076.01,FALSE POSITIVE,1,2301559931.7347536
9552608,K00080.01,FALSE POSITIVE,1,7929978501.485982
8823868,K00081.01,FALSE POSITIVE,1,8149225689.906602
10187017,K00082.01,CONFIRMED,1,4730692801.169285
10187017,K00082.02,CONFIRMED,2,288354792.8487947
10187017,K00082.03,CONFIRMED,3,-1906588339.4726527
10187017,K00082.04,CONFIRMED,4,-1728077081.2523718
10187017,K00082.05,CONFIRMED,5,-1916975595.8692079
10187017,K00082.06,FALSE POSITIVE,6,-2286462664.705503
2571238,K00084.01,CONFIRMED,1,4951629284.085311
5866724,K00085.01,CONFIRMED,1,4775519862.050092
5866724,K00085.02,CONFIRMED,2,2019882842.3986185
5866724,K00085.03,CONFIRMED,3,-939587609.6370448
10593626,K00087.01,CONFIRMED,1,-1735190054.8366275
7700871,K00088.01,FALSE POSITIVE,1,258770255.3629501
8056665,K00089.01,CONFIRMED,1,-1521249025.4689074
8056665,K00089.02,FALSE POSITIVE,2,-1460782791.9981236
9210823,K00090.01,FALSE POSITIVE,1,1012090401.6349295
7941200,K00092.01,FALSE POSITIVE,1,189859382.9128459
6462863,K00094.01,CONFIRMED,1,8149225689.663343
6462863,K00094.02,CONFIRMED,2,629637323.3849996
6462863,K00094.03,CONFIRMED,3,1625908912.5103424
6462863,K00094.04,CONFIRMED,4,-978104008.1222318
5780885,K00097.01,CONFIRMED,1,8149225689.857299
10264660,K00098.01,CONFIRMED,1,8149225689.700044
4055765,K00100.01,FALSE POSITIVE,1,1824674592.3365002
8456679,K00102.01,FALSE POSITIVE,1,8149225028.259033
8456679,K00102.02,FALSE POSITIVE,2,-1395034190.5948951
2444412,K00103.01,FALSE POSITIVE,1,687404093.4517637
10318874,K00104.01,CONFIRMED,1,8149225403.391685
8711794,K00105.01,CONFIRMED,1,7561786947.557487
10489525,K00106.01,FALSE POSITIVE,1,241717511.75860903
11250587,K00107.01,CONFIRMED,1,1513094350.48006
4914423,K00108.01,CONFIRMED,1,473982925.15543514
4914423,K00108.02,CONFIRMED,2,-1072130400.3619936
4752451,K00109.01,FALSE POSITIVE,1,-1661114629.5003698
9450647,K00110.01,CONFIRMED,1,2070353080.3216822
6678383,K00111.01,CONFIRMED,1,1114084250.6988618
6678383,K00111.02,CONFIRMED,2,-1064374388.5967135
6678383,K00111.03,CONFIRMED,3,-508425933.4737715
10984090,K00112.01,CONFIRMED,1,-683383787.1010226
10984090,K00112.02,CONFIRMED,2,-290259082.3995534
6721123,K00114.01,FALSE POSITIVE,1,-1641448190.279956
9579641,K00115.01,CONFIRMED,1,5003962751.031483
9579641,K00115.02,CONFIRMED,2,-697436464.5655218
9579641,K00115.03,FALSE POSITIVE,3,-2293217552.1818166
