kepid,tce_plnt_num,pca
2304168.0,2.0,-449710749.81469655
2304235.0,1.0,1814773240.6832197
2304566.0,1.0,-459507165.6837462
2304320.0,1.0,536161519.0254005
2303365.0,2.0,1814773551.1567867
2303102.0,10.0,-503380005.2375601
2303903.0,1.0,82329862.86995062
2303365.0,1.0,1475394458.4155066
2304604.0,1.0,403001403.3975836
2305255.0,1.0,-509827559.4391566
757099.0,1.0,-20007319.286185343
892376.0,1.0,-378618847.21217024
757450.0,1.0,1814773737.3305492
892376.0,2.0,342317248.23017097
892376.0,4.0,-459747405.80109185
892376.0,3.0,-585709978.7464734
892376.0,5.0,-457646452.7840307
892772.0,1.0,-51894636.49750896
892376.0,6.0,-585710031.9276631
892667.0,1.0,-176905952.65220407
893507.0,2.0,-75549850.54450017
893507.0,4.0,-416151836.9092131
893507.0,5.0,-363177189.41096383
893507.0,7.0,-200660827.63210267
893507.0,6.0,-367189128.3095466
893647.0,4.0,-392280456.35832214
893647.0,1.0,-365456991.9245197
893647.0,2.0,-331399178.05893713
893647.0,3.0,-288606506.59014404
1025986.0,1.0,-34203481.66788487
1026032.0,1.0,1814773739.0339575
1026133.0,1.0,-145992701.18071935
1026032.0,2.0,1814773737.7214801
1026133.0,2.0,-455811061.2043351
1026474.0,1.0,-353855796.52287877
1026474.0,2.0,-544714190.4275631
1026957.0,1.0,1814773396.0946827
1028018.0,1.0,1179479409.5145562
1028246.0,1.0,-407719956.06408435
1028246.0,2.0,-556347388.3803257
1160891.0,1.0,643138471.9362967
1160891.0,2.0,533422620.0563692
1160891.0,4.0,-405865099.3947175
1160891.0,3.0,-193926894.17980415
1161345.0,1.0,1814773520.844587
1162150.0,1.0,205725439.89071676
1162150.0,2.0,-10837811.102679728
1162150.0,3.0,82973855.87521091
1162339.0,1.0,-18435689.366346676
1162339.0,2.0,-450077743.75744486
1162339.0,3.0,-367970795.4337397
1162345.0,1.0,510010256.35021067
1162345.0,2.0,224741518.3183165
1292087.0,1.0,-582356382.4839398
1293031.0,1.0,681997690.5758169
1293031.0,2.0,-225990237.37597004
1293046.0,1.0,-206951379.3972443
1294670.0,1.0,-287342367.6644747
1294670.0,2.0,-64384937.82631305
1294756.0,1.0,518676322.750188
1294756.0,2.0,-487935049.2558088
1294756.0,3.0,-381649598.4644637
1294756.0,4.0,-345880484.52607954
1294756.0,5.0,-347829055.7423297
1294756.0,6.0,-437722941.9300585
1294756.0,7.0,-413080083.34827864
1294869.0,1.0,-487494770.5114171
1294756.0,8.0,-355092004.37618643
